# Local Audit Report
# Date: 2026-02-27 15:03:18.919124+00:00
# Network (SSID): Ethernet_or_Unknown
# Avg Latency: 823ms
# Success Rate: 80.5%
# Total Passed: 227

[VLESS] [314ms] vless://a4f4c55a-5102-4c00-b212-682209219070@198.41.211.138:80?type=ws&host=us1.opp.de5.net&path=/free&fp=chrome#%5B%F0%9F%9A%A9%20Unknown%5D%20_%E6%9C%AA%E7%9F%A5
[VLESS] [354ms] vless://a4f4c55a-5102-4c00-b212-682209219070@104.20.57.74:80?type=ws&host=us1.opp.de5.net&path=/free&fp=chrome#%5B%F0%9F%9A%A9%20Unknown%5D%20_%E6%9C%AA%E7%9F%A5
[VLESS] [375ms] vless://a4f4c55a-5102-4c00-b212-682209219070@104.17.213.175:80?type=ws&host=us1.opp.de5.net&path=/free&fp=chrome#%5B%F0%9F%9A%A9%20Unknown%5D%20_%E6%9C%AA%E7%9F%A5
[VLESS] [378ms] vless://a4f4c55a-5102-4c00-b212-682209219070@104.20.54.119:80?type=ws&host=us1.opp.de5.net&path=/free&fp=chrome#%5B%F0%9F%9A%A9%20Unknown%5D%20_%E6%9C%AA%E7%9F%A5
[VLESS] [403ms] vless://a4f4c55a-5102-4c00-b212-682209219070@104.17.2.56:80?type=ws&host=us1.opp.de5.net&path=/free&fp=chrome#%5B%F0%9F%9A%A9%20Unknown%5D%20_%E6%9C%AA%E7%9F%A5
[VLESS] [418ms] vless://a4f4c55a-5102-4c00-b212-682209219070@104.17.222.76:80?type=ws&host=us1.opp.de5.net&path=/free&fp=chrome#%5B%F0%9F%9A%A9%20Unknown%5D%20_%E6%9C%AA%E7%9F%A5
[VLESS] [422ms] vless://b1267991-59ff-4b67-b141-97e3ced4e7c8@66.179.82.126:443?security=reality&type=tcp&sni=yahoo.com&pbk=1xMt7stxzh55Xy31H180TZNMvRYNkhEE86StqE4CtDs&fp=chrome&sid=2f2a#%5B%F0%9F%87%BA%F0%9F%87%B8%20US%5D%20%40vpnclashfa%20-%203569
[VLESS] [483ms] vless://a4f4c55a-5102-4c00-b212-682209219070@108.162.194.67:80?type=ws&host=us1.opp.de5.net&path=/free&fp=chrome#%5B%F0%9F%9A%A9%20Unknown%5D%20%F0%9F%87%BA%F0%9F%87%B8_%E7%BE%8E%E5%9B%BD
[VLESS] [486ms] vless://881664d9-69cb-4593-9165-1b8c39d641d1@107.172.231.70:46794?security=reality&type=tcp&sni=advertising.apple.com&flow=xtls-rprx-vision&pbk=8inAXYX8cJJ_FGESJdmJ247Gm4iqoaTk7cQ-5O3aLUY&fp=chrome&sid=c5ec4ef3#%5B%F0%9F%87%BA%F0%9F%87%B8%20US%5D%20%F0%9F%87%BA%F0%9F%87%B8%20%E7%BE%8E%E5%9B%BD%20%E6%B4%9B%E6%9D%89%E7%9F%B6-%E5%8F%AF%E4%B8%8B%E8%BD%BD%E4%BD%BF%E7%94%A8%20-183
[VLESS] [494ms] vless://e384913f-8863-47b4-8858-a84b68abb4a6@203.188.180.45:23335?security=reality&type=tcp&sni=icloud.com&flow=xtls-rprx-vision&pbk=7Gi8eiUU9TIVbGuvSU16gl5-Aqt7tcCSB9x6CSxyvik&fp=qq&sid=67b1e94e4dd1ef90#%5B%F0%9F%87%B3%F0%9F%87%B1%20NL%5D%20%5BOpenRay%5D%20%F0%9F%87%B3%F0%9F%87%B1%20NL-2241
